Timestamp,cof_level,milk_level,con_level,predicted_attack,actual_attack
2024-08-14 00:09:58,90,100,100,False,False
2024-08-14 00:09:58,80,100,100,False,False
2024-08-14 00:09:58,70,100,100,False,False
2024-08-14 00:09:58,60,100,100,False,False
2024-08-14 00:09:58,9.5,53.3,55.1,True,True
2024-08-14 00:09:58,52.5,4.1,13.6,True,True
2024-08-14 00:09:58,42.5,100,13.6,False,False
2024-08-14 00:09:58,37.7,89.0,2.5,True,True
2024-08-14 00:09:58,8.1,49.0,58.3,True,True
2024-08-14 00:09:58,90,39.0,58.3,False,False
2024-08-14 00:09:58,80,39.0,48.3,False,False
2024-08-14 00:09:58,54.9,6.6,30.5,True,True
2024-08-14 00:09:59,43.4,81.3,5.6,True,True
2024-08-14 00:09:59,33.4,71.3,100,False,False
2024-08-14 00:09:59,9.6,40.0,74.2,True,True
2024-08-14 00:09:59,90,30.0,74.2,False,False
2024-08-14 00:09:59,80,20.0,74.2,False,False
2024-08-14 00:09:59,67.1,8.0,63.4,True,True
2024-08-14 00:09:59,57.1,100,53.4,False,False
2024-08-14 00:09:59,47.1,100,53.4,False,False
2024-08-14 00:09:59,37.1,100,53.4,False,False
2024-08-14 00:09:59,9.9,66.7,18.1,True,True
2024-08-14 00:09:59,92.1,53.0,6.5,True,True
2024-08-14 00:09:59,45.2,8.1,55.5,True,True
2024-08-14 00:09:59,35.2,90,55.5,False,False
2024-08-14 00:09:59,25.2,90,55.5,False,False
2024-08-14 00:09:59,15.2,90,45.5,False,False
2024-08-14 00:09:59,6.8,87.3,38.6,True,True
2024-08-14 00:09:59,90,87.3,38.6,False,False
2024-08-14 00:09:59,57.8,49.3,4.5,True,True
2024-08-14 00:09:59,11.7,8.1,52.5,True,True
2024-08-14 00:09:59,1.7,100,52.5,True,False
2024-08-14 00:09:59,90,100,52.5,False,False
2024-08-14 00:10:00,80,100,52.5,False,False
2024-08-14 00:10:00,33.6,61.1,8.6,False,True
2024-08-14 00:10:00,23.6,61.1,100,False,False
2024-08-14 00:10:00,13.6,61.1,100,False,False
2024-08-14 00:10:00,3.6,51.1,100,True,False
2024-08-14 00:10:00,90,51.1,100,False,False
2024-08-14 00:10:00,80,41.1,100,False,False
2024-08-14 00:10:00,46.1,7.5,56.3,True,True
2024-08-14 00:10:00,36.1,90,56.3,False,False
2024-08-14 00:10:00,26.1,80,56.3,False,False
2024-08-14 00:10:00,16.1,80,56.3,False,False
2024-08-14 00:10:00,6.1,80,56.3,True,False
